Weight,FatContent,ProductVisibility,ProductType,MRP,EstablishmentYear,StoreSize,CityTier,StoreCategory,StoreSales,SqrtProductVisibility,ProductGroup,MRP_bin,Vis_bin
9.3,Low Fat,0.016047301,Dairy,249.8092,1999,Medium,Tier 1,Supermarket Type1,3735.138,0.12667794204201455,Dairy & Frozen,High,Low
5.92,Regular,0.019278216,Soft Drinks,48.2692,2009,Medium,Tier 3,Supermarket Type2,443.4228,0.13884601542716304,Snacks & Beverages,Low,Low
17.5,Low Fat,0.016760075,Meat,141.618,1999,Medium,Tier 1,Supermarket Type1,2097.27,0.12946070832495857,Fresh Produce,Mid-High,Low
19.2,Regular,0.058778429,Fruits and Vegetables,182.095,1998,Small,Tier 3,Grocery Store,732.38,0.24244263032725907,Fresh Produce,Mid-High,Mid-High
8.93,Low Fat,0.049016517,Household,53.8614,1987,High,Tier 3,Supermarket Type1,994.7052,0.22139674116842822,Household & Hygiene,Low,Mid-Low
10.395,Regular,0.062343432,Baking Goods,51.4008,2009,Medium,Tier 3,Supermarket Type2,556.6088,0.24968666764567146,Grains & Bakery,Low,Mid-High
13.65,Regular,0.012741089,Snack Foods,57.6588,1987,High,Tier 3,Supermarket Type1,343.5528,0.1128764324383084,Snacks & Beverages,Low,Low
13.15,Low Fat,0.127469857,Snack Foods,107.7622,1985,Medium,Tier 3,Supermarket Type3,4022.7636,0.3570292102895784,Snacks & Beverages,Mid-Low,High
16.2,Regular,0.016687114,Frozen Foods,96.9726,2002,Small,Tier 2,Supermarket Type1,1076.5986,0.1291786127809089,Dairy & Frozen,Mid-Low,Low
19.2,Regular,0.09444959,Frozen Foods,187.8214,2007,Small,Tier 2,Supermarket Type1,4710.535,0.3073265201703231,Dairy & Frozen,High,High
11.8,Low Fat,0.058778429,Fruits and Vegetables,45.5402,1999,Medium,Tier 1,Supermarket Type1,1516.0266,0.24244263032725907,Fresh Produce,Low,Mid-High
18.5,Regular,0.045463773,Dairy,144.1102,1997,Small,Tier 1,Supermarket Type1,2187.153,0.2132223557697457,Dairy & Frozen,Mid-High,Mid-Low
15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,1999,Medium,Tier 1,Supermarket Type1,1589.2646,0.31624911067068634,Fresh Produce,Mid-High,High
17.6,Regular,0.047257328,Snack Foods,119.6782,1997,Small,Tier 1,Supermarket Type1,2145.2076,0.21738750654073938,Snacks & Beverages,Mid-Low,Mid-Low
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,1987,High,Tier 3,Supermarket Type1,1977.426,0.2608146851693746,Fresh Produce,High,Mid-High
9.0,Regular,0.069088961,Breakfast,56.3614,1997,Small,Tier 1,Supermarket Type1,1547.3192,0.26284779055567503,Grains & Bakery,Low,Mid-High
11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,2009,Medium,Tier 3,Supermarket Type2,1621.8888,0.09271489092912745,Household & Hygiene,Mid-Low,Low
9.0,Regular,0.069196376,Breakfast,54.3614,1999,Medium,Tier 1,Supermarket Type1,718.3982,0.2630520404786855,Grains & Bakery,Low,Mid-High
10.1,Low Fat,0.034237682,Hard Drinks,113.2834,1985,Medium,Tier 3,Supermarket Type3,2303.668,0.18503427250106938,Snacks & Beverages,Mid-Low,Mid-Low
13.35,Low Fat,0.10249212,Dairy,230.5352,2004,Small,Tier 2,Supermarket Type1,2748.4224,0.32014390514267177,Dairy & Frozen,High,High
18.85,Regular,0.138190277,Snack Foods,250.8724,1987,High,Tier 3,Supermarket Type1,3775.086,0.3717395284335525,Snacks & Beverages,High,High
11.65,Regular,0.035399923,Baking Goods,144.5444,1985,Medium,Tier 3,Supermarket Type3,4064.0432,0.1881486725969652,Grains & Bakery,Mid-High,Mid-Low
14.6,Low Fat,0.025698134,Household,196.5084,2004,Small,Tier 2,Supermarket Type1,1587.2672,0.16030637541907058,Household & Hygiene,High,Low
11.65,Low Fat,0.057556998,Baking Goods,107.6938,1985,Small,Tier 1,Grocery Store,214.3876,0.2399103957730886,Grains & Bakery,Mid-Low,Mid-Low
13.85,Regular,0.025896485,Frozen Foods,165.021,1997,Small,Tier 1,Supermarket Type1,4078.025,0.16092384845012875,Dairy & Frozen,Mid-High,Low
13.0,Low Fat,0.099887103,Household,45.906,2007,Small,Tier 2,Supermarket Type1,838.908,0.31604920977594614,Household & Hygiene,Low,High
7.645,Regular,0.066693437,Snack Foods,42.3112,2004,Small,Tier 2,Supermarket Type1,1065.28,0.2582507250715862,Snacks & Beverages,Low,Mid-High
11.65,Low Fat,0.019356132,Hard Drinks,39.1164,1987,High,Tier 3,Supermarket Type1,308.9312,0.13912631670535952,Snacks & Beverages,Low,Low
5.925,Regular,0.161466534,Dairy,45.5086,1998,Small,Tier 3,Grocery Store,178.4344,0.40182898601270667,Dairy & Frozen,Low,High
12.15,Regular,0.072221801,Canned,43.6454,1985,Small,Tier 1,Grocery Store,125.8362,0.2687411412493443,Canned & Packaged,Low,Mid-High
19.25,Low Fat,0.170348551,Dairy,55.7956,1998,Small,Tier 3,Grocery Store,163.7868,0.41273302630150643,Dairy & Frozen,Low,High
18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,2009,Medium,Tier 3,Supermarket Type2,2741.7644,0.28430506854433674,Household & Hygiene,Mid-Low,Mid-High
18.7,Low Fat,0.057583737999999995,Snack Foods,256.6672,2009,Medium,Tier 3,Supermarket Type2,3068.0064,0.23996611844175,Snacks & Beverages,High,Mid-Low
17.85,Low Fat,0.0586417345,Breads,93.1436,2002,Small,Tier 2,Supermarket Type1,2174.5028,0.242160555210794,Grains & Bakery,Mid-Low,Mid-High
17.5,Low Fat,0.097904029,Soft Drinks,174.8738,1997,Small,Tier 1,Supermarket Type1,2085.2856,0.31289619524692214,Snacks & Beverages,Mid-High,High
